vehicle_id,start_time,end_time,avg_x,avg_y,most_frequent_lane,vehicle_type,duration,entry_zone_id,exit_zone_id,entry_time,exit_time,idle_time,direction,co2_emission_g
9,1.24,26.24,1162.2,599.6,1,car,25,2,3,385,440,55,2->3,0.66
12,4.41,22.21,714.6,591.8,1,car,17.8,2,3,590,640,50,2->3,0.6
25,8.07,24.21,929.2,521,3,car,16.14,2,3,260,310,50,2->3,0.6
29,0.79,22.55,1211.4,650.2,2,car,21.76,2,3,750,790,40,2->3,0.48
32,11.76,27.52,666.4,512.6,3,car,15.76,2,1,110,160,50,2->1,0.6
35,4.9,27.31,1172.6,571.6,2,car,22.41,3,2,510,560,50,3->2,0.6
44,9.38,18.59,818.8,527.6,2,car,9.21,3,2,352,405,53,3->2,0.64
48,1.66,18.52,791.6,831,1,car,16.86,2,1,330,375,45,2->1,0.54
53,3.52,14.76,1032.4,681,1,car,11.24,2,3,340,390,50,2->3,0.6
63,0.93,24.14,1401.2,521.4,3,car,23.21,3,2,350,400,50,3->2,0.6
73,7.76,17.69,913.4,582,2,car,9.93,3,2,370,420,50,3->2,0.6
76,0.93,23.28,916.8,594.8,2,car,22.35,2,3,530,580,50,2->3,0.6
83,1.79,25.07,1415.8,735.8,2,car,23.28,3,2,240,285,45,3->2,0.54
87,7.17,27.17,1199.8,488.6,1,car,20,3,0,230,280,50,3->0,0.6
92,0.48,25.76,859,540,1,car,25.28,2,3,500,550,50,2->3,0.6
119,2.34,24.72,1474.2,603.8,3,car,22.38,3,0,320,355,35,3->0,0.42
123,8,11.1,1463.6,794.8,1,car,3.1,0,2,200,250,50,0->2,0.6
161,8.41,24.03,824.4,718.2,1,car,15.62,2,1,570,615,45,2->1,0.54
276,0.72,25.69,759.2,390.6,2,car,24.97,2,3,760,800,40,2->3,0.48
